epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2497.21,0.49156,1.62635,1.30312,1.07434,0.39244,0.54853,0.47734,0.40501,0.35893,0.51032,0.41748,0.31584,0.56462,2.61262,1.60041,1.17369,3.04384e-05,3.04384e-05,3.04384e-05
91,2536.13,0.36748,1.29923,0.91081,1.06964,0.44532,0.48547,0.46278,0.38678,0.40228,0.44632,0.40116,0.29931,0.58658,2.64141,1.67695,1.20182,2.7904e-05,2.7904e-05,2.7904e-05
92,2563.73,0.34369,1.23341,0.80646,1.04258,0.43439,0.51662,0.46657,0.39226,0.38983,0.48568,0.41117,0.30803,0.57789,2.61475,1.66057,1.19535,2.53696e-05,2.53696e-05,2.53696e-05
93,2591.43,0.33759,1.20501,0.79017,1.04227,0.42786,0.50052,0.46849,0.39722,0.39373,0.45851,0.40949,0.31352,0.57354,2.63011,1.6508,1.19777,2.28352e-05,2.28352e-05,2.28352e-05
94,2619.07,0.33802,1.19129,0.76605,1.03969,0.405,0.52459,0.47052,0.40005,0.37362,0.48475,0.41743,0.31575,0.56887,2.65316,1.64536,1.1909,2.03008e-05,2.03008e-05,2.03008e-05
95,2646.78,0.32996,1.16033,0.7584,1.02974,0.43121,0.49445,0.47336,0.40326,0.38343,0.47004,0.41735,0.31725,0.56844,2.67411,1.6446,1.18791,1.77664e-05,1.77664e-05,1.77664e-05
96,2674.43,0.3285,1.17817,0.74848,1.03299,0.42277,0.5169,0.47472,0.40589,0.38583,0.47906,0.41971,0.31993,0.56772,2.66263,1.64308,1.18707,1.5232e-05,1.5232e-05,1.5232e-05
97,2702.01,0.32316,1.15371,0.7282,1.02985,0.42621,0.49528,0.47337,0.4053,0.39217,0.45726,0.41918,0.32075,0.55838,2.64527,1.6493,1.17713,1.26976e-05,1.26976e-05,1.26976e-05
98,2729.59,0.32327,1.14187,0.70766,1.02679,0.45112,0.47873,0.47475,0.40496,0.41264,0.44358,0.42026,0.32067,0.56329,2.66604,1.64553,1.18236,1.01632e-05,1.01632e-05,1.01632e-05
99,2757.29,0.31634,1.12997,0.71835,1.01866,0.4316,0.49125,0.4728,0.40316,0.39253,0.4554,0.41901,0.31971,0.56251,2.67625,1.64819,1.18356,7.6288e-06,7.6288e-06,7.6288e-06
100,2784.94,0.3182,1.14074,0.70712,1.02203,0.42999,0.49382,0.47002,0.4015,0.39224,0.46366,0.41757,0.31894,0.56153,2.66456,1.65198,1.18291,5.0944e-06,5.0944e-06,5.0944e-06
