epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5499.38,0.7674,2.21727,1.79974,1.15554,0.65015,0.63439,0.68351,0.57448,0.62991,0.59982,0.63545,0.43752,0.59635,1.63599,1.17717,1.09385,0.001981,0.001981,0.001981
83,5565.67,0.76717,2.19605,1.81298,1.15567,0.69633,0.6221,0.69041,0.58248,0.67442,0.59576,0.64434,0.44486,0.59053,1.62171,1.16092,1.09,0.001882,0.001882,0.001882
84,5631.71,0.75216,2.16486,1.78991,1.14435,0.68761,0.6287,0.69298,0.58627,0.66368,0.60416,0.64854,0.44988,0.58883,1.61452,1.14973,1.08751,0.001783,0.001783,0.001783
85,5697.98,0.76019,2.16809,1.78927,1.15185,0.69174,0.63505,0.70012,0.59391,0.66861,0.60744,0.65331,0.45548,0.58411,1.5997,1.133,1.08376,0.001684,0.001684,0.001684
86,5764.09,0.7552,2.19883,1.77551,1.15089,0.69019,0.6416,0.7038,0.59661,0.66442,0.61495,0.65578,0.45638,0.58203,1.59644,1.12887,1.08207,0.001585,0.001585,0.001585
87,5830.47,0.75363,2.16404,1.76565,1.14813,0.67728,0.64899,0.70716,0.60051,0.65664,0.6183,0.6613,0.46093,0.57882,1.58586,1.11946,1.07917,0.001486,0.001486,0.001486
88,5896.57,0.74853,2.13584,1.74254,1.14171,0.68196,0.65415,0.71362,0.60721,0.66011,0.62501,0.66654,0.46304,0.57648,1.58195,1.10762,1.07811,0.001387,0.001387,0.001387
89,5962.67,0.75107,2.14932,1.74753,1.14392,0.69982,0.65868,0.71976,0.61382,0.67327,0.62957,0.67151,0.46762,0.5731,1.57274,1.09523,1.07423,0.001288,0.001288,0.001288
90,6028.84,0.73761,2.13279,1.74216,1.13178,0.70569,0.65643,0.72456,0.61802,0.6798,0.62867,0.67871,0.47128,0.57007,1.56423,1.08326,1.07153,0.001189,0.001189,0.001189
91,6097.7,0.67796,1.89733,1.40882,1.18406,0.71242,0.65404,0.72659,0.62238,0.68737,0.62698,0.68167,0.47367,0.56534,1.56029,1.07452,1.06759,0.00109,0.00109,0.00109
92,6163.4,0.64968,1.8163,1.30306,1.15894,0.72231,0.65454,0.73361,0.6304,0.69929,0.62927,0.68787,0.47912,0.55941,1.5483,1.05474,1.06201,0.000991,0.000991,0.000991
93,6229.24,0.64135,1.77741,1.2776,1.15714,0.72671,0.66314,0.74321,0.64121,0.7007,0.63885,0.69737,0.48641,0.55369,1.53457,1.03355,1.05618,0.000892,0.000892,0.000892
94,6294.62,0.63123,1.76522,1.24912,1.14579,0.73821,0.66885,0.75036,0.64896,0.71949,0.64011,0.70526,0.49353,0.54693,1.52139,1.01617,1.05035,0.000793,0.000793,0.000793
95,6359.99,0.62984,1.74154,1.23808,1.14563,0.74404,0.67402,0.75691,0.65664,0.73274,0.64004,0.71169,0.49997,0.542,1.51042,0.99935,1.0461,0.000694,0.000694,0.000694
96,6425.31,0.62034,1.72062,1.20943,1.13744,0.74978,0.67448,0.76217,0.6622,0.72671,0.64825,0.71736,0.50446,0.53835,1.49999,0.98599,1.04275,0.000595,0.000595,0.000595
97,6490.48,0.62085,1.71353,1.20064,1.13306,0.75478,0.67568,0.76749,0.66761,0.73358,0.65211,0.72403,0.50865,0.53511,1.49335,0.97446,1.04001,0.000496,0.000496,0.000496
98,6555.7,0.61386,1.71383,1.18166,1.13346,0.75396,0.68114,0.77134,0.67312,0.73451,0.65611,0.72746,0.51187,0.53197,1.48804,0.96411,1.03784,0.000397,0.000397,0.000397
99,6620.89,0.61011,1.69351,1.16826,1.12863,0.75517,0.68739,0.77461,0.67721,0.74014,0.65788,0.73157,0.51513,0.52948,1.48205,0.95526,1.03563,0.000298,0.000298,0.000298
100,6685.88,0.60345,1.68649,1.15498,1.12408,0.76495,0.68324,0.77688,0.6795,0.7418,0.66091,0.73486,0.51777,0.52775,1.47828,0.94836,1.03393,0.000199,0.000199,0.000199
